,Unnamed: 0,Unnamed: 0.1,link,summary,purpose,lex_rank,edmunson,lead_cm,prsummarizer
10,10,137181908,https://api.github.com/repos/AtamaZack/redux-tour,This is a simple react-redux application for testing the different functionality of the technology.,testing the different functionality of the technology ,your app is ready to be deployed see the section about deployment for more information.,this project was bootstrapped with create react app.,this project was bootstrapped with create react app. available scripts in the project directory you can run runs the app in the development mode. open,react app to react the react
11,11,137389158,https://api.github.com/repos/cuba-platform/saml-addon,This component provides a readily available instrument of authentication in any CUBA-based application using SAML open standard. That allows identity provider to pass authorization credentials to your applications - service providers.,your applications service providers ,cuba.addon.saml.logallsamlmessages description determines if all saml messages should be logged default value true interface samlconfig used in the web client.,saml 1. overview 2. installation 2.1. from the marketplace 2.2. by coordinates 3. configuration 3.1. keystore 3.1.1. creating keystore 3.2. saml connection 3.3. tenant logging 3.4. saml processor 3.5. predefined roles 4. implementation 4.1. extension of the standard login window 4.2. setup signing method for saml messages 5. general application properties 1. overview this component provides a readily available instrument of authentication in any cubabased application using saml open standard.,saml 1. overview 2. installation 2.1. from the marketplace 2.2. by coordinates 3. configuration 3.1. keystore 3.1.1. creating keystore 3.2. saml connection 3.3. tenant logging,component provides a readily component to log the instrument of authentication in saml application using [UNK]
12,12,136792809,https://api.github.com/repos/obiwit/expROVer,"The ExpROVer software intents to add value to the ROV market by enabling the use an open source solution enabling an easy and intuitive user interface, available anywhere and at anytime and ready to support extensions from the open source community.",support extensions from the open source community ,you can find more information in license.,exprover the exprover software intents to add value to the rov market by enabling the use an open source solution enabling an easy and intuitive user interface available anywhere and at anytime and ready to support extensions from the open source community.,exprover the exprover software intents to add value to the rov market by enabling the use an open source solution enabling an easy and intuitive,the exprover software intents to add value to the rov market
13,13,136717101,https://api.github.com/repos/soniccol/youtube-dl-batch,Simple batch files for simplifying basic usage of https://github.com/rg3/youtube-dl Windows .exe releases,simplifying basic usage of https githubcomrg3youtubedl Windows exe releases,videos with video quality above 720p will have to download the video and audio files seperately and then merge them into one file thats just how youtube works for some reason.,youtubedlbatch these batch files are just made to simplify the usage of windows .exe releases of httprg3.github.ioyoutubedl source httpsgithub.comrg3youtubedl for people who want to just simply use as a tool to download highquality videos from youtube without using thirdparty services or software clients since these usually come with video quality restrictions rather than use it for development purposes.,youtubedlbatch these batch files are just made to simplify the usage of windows .exe releases of httprg3.github.ioyoutubedl source httpsgithub.comrg3youtubedl for people who want to just,tool to download the usage of windows exe
14,14,137446146,https://api.github.com/repos/stackhpc/rally-kit,Config overrides and blacklists for using rally with ironic,using rally with ironic,testlistsmonasca run the tests with rally verify start loadlist testlistsmonasca or by using a regex rally verify start pattern monascatempesttests.tests.api background generating lists of bare metal tests creating a list of tests that dont need compute rationale we want to speed up tempest runs but booting baremetal servers must be done serially.,rally kit this repo provides some tools and configuration for using rally to test hpcdirect.,rally kit this repo provides some tools and configuration for using rally to test hpcdirect. rally installation install the dependencies install rally. note that this,provides some tools and configuration for using rally to test hpcdirect rally
15,15,137591249,https://api.github.com/repos/googlesale/AWS-Command-Line-Interface-,"The AWS Command Line Interface (AWS CLI) is a unified tool that provides a consistent interface for interacting with all parts of AWS. AWS CLI commands for different services are covered in the accompanying user guide, including descriptions, syntax, and ",different services are covered in the accompanying user guide including descriptions syntax and,this command is interactive so the aws cli outputs lines of texts prompting you to enter additional information.,awscommandlineinterface the aws command line interface aws cli is a unified tool that provides a consistent interface for interacting with all parts of aws.,awscommandlineinterface the aws command line interface aws cli is a unified tool that provides a consistent interface for interacting with all parts of aws. aws,source tool that enables you to interact with aws services of aws aws cli commands for different services
16,16,137154372,https://api.github.com/repos/Man-that-Dan/Movies-ui,React front end using react-admin to view and edit records from backend API,view and edit records from backend API,your app is ready to be deployed see the section about deployment for more information.,moviesui ui for retrieveing viewing and editing movie records from an sql database built with react and using the reactadmin module.,moviesui ui for retrieveing viewing and editing movie records from an sql database built with react and using the reactadmin module. currently deployed at httpsmoviedbeditor.herokuapp.com,ui for retrieveing viewing and editing movie records from an sql database built with react module
17,17,137188359,https://api.github.com/repos/amdemas/taskwhisperer,Taskwhisperer is a extension for TaskWarrior Application https://taskwarrior.org. It is to display upcoming tasks and task details as well as to create and modify them.,create and modify them ,the data is fetched from export function of taskwarrior taskwarrior docs installation after the installation restart gnome shell and enable the extension through gnometweaktool.,gnomeshellextensiontaskwhisperer is a simple extension for displaying pending tasks created by taskwarrior in gnome shell.,gnomeshellextensiontaskwhisperer is a simple extension for displaying pending tasks created by taskwarrior in gnome shell. the data is fetched from export function of taskwarrior taskwarrior,simple extension for displaying pending tasks
18,18,137527315,https://api.github.com/repos/josephjlee/PHP-MySQLi-Connector-1,A simple PHP class to abstract MySQLi,abstract MySQLi,updatetablecols where this method prepares update statement for sql and returns true or false based on success or faliure of sql statement table name of table where is array where even values including 0 contains where row odd values contain the clauses for the row.,phpmysqli connector phpmysqli connector is php class to manage crud operations in mysqli using mysqli php connection.it provides basic crud operations including select insert update delete drop changedatabase.,phpmysqli connector phpmysqli connector is php class to manage crud operations in mysqli using mysqli php connection.it provides basic crud operations including select insert update,class to manage mysql host
19,19,137465669,https://api.github.com/repos/Tressley/svg-gobbler,Browser extension to find SVGs on a webpage and download or copy to clipboard. ,clipboard ,side load extension open chrome or brave browser in the address bar navigate to in the top right of the screen flip the toggle to enable developer mode click the button to load unpacked and select the extension folder inside the cloned svg gobbler repo start testing server you can start up a testing server webpage that includes different svg import syntaxes for testing by running this will start the webpack dev server from the testserver directory.,svg gobbler download this extension on the chrome web store for use in brave or chrome.,svg gobbler download this extension on the chrome web store for use in brave or chrome. svg gobbler is a simple browser extension that finds,simple extension on the chrome web window highlights unique is a simple browser extension that finds svg content in your current window highlights size that finds you to search the svg in brave or chrome
20,20,136662302,https://api.github.com/repos/carolinepotts/python-dlpy,The SAS Deep Learning Python (DLPy) package provides the high-level Python APIs to deep learning methods in SAS Visual Data Mining and Machine Learning. It allows users to build deep learning models using friendly Keras-like APIs. ,build deep learning models using friendly Keraslike APIs ,overview dlpy is a highlevel python library for the sas deep learning features available in sas viya.,dlpy sas viya deep learning api for python an efficient way to apply deep learning methods to image text and audio data.,dlpy sas viya deep learning api for python an efficient way to apply deep learning methods to image text and audio data. overview dlpy is,sas learning api for python an efficient way to apply deep learning methods to apply text and audio data
21,21,136624916,https://api.github.com/repos/gondole/android-topeka,A fun to play quiz that showcases material design on Android,play quiz that showcases material design on Android,topeka for android a fun to play quiz that showcases material design on android introduction material design is a new system for visual interaction and motion design.,topeka for android a fun to play quiz that showcases material design on android introduction material design is a new system for visual interaction and motion design.,topeka for android a fun to play quiz that showcases material design on android introduction material design is a new system for visual interaction and,android fun to play quiz that showcases material design on android
22,22,136702884,https://api.github.com/repos/silverstripe-terraformers/silverstripe-sqs-jobqueue,A module to provide SQS message handling for SilverStripe,SilverStripe,a separate sqs task runs that looks for any jobs of type scheduled and executes those that task requeues itself for to run again in 30 seconds time the scheduled task runner will also look for any job currently sitting in the wait status this is how paused jobs get picked up for further execution without needing to trigger another sqs message configuration for use as the queuejobs handler that expects a queue to exist with the name jobqueue if the queue name is different writing a task define a class with a method in it.,silverstripe sqs job queue a module for sending and consuming sqs tasks.,silverstripe sqs job queue a module for sending and consuming sqs tasks. can be configured to work as the trigger for queuejobs. when used as,module for sending and consuming sqs tasks
23,23,136726783,https://api.github.com/repos/pydawan/selenium-automation-bundle,Selenium Automation Bundle is an extendable and adaptable solution that simplifies automated testing to help focus on writing tests with Selenide and TestNG using the best test design patterns.,help focus on writing tests with Selenide and TestNG using the best test design patterns ,for start you can follow to the documents below introduction to writing tests with selenium automation bundle detailed guide to writing tests with selenium automation bundle data driven testing with selenium automation bundle what you should know before using selenium automation bundle selenium automation bundle is built around selenium ecosystem which is why you should have a basic understanding of java selenium and testng.,selenium automation bundle selenium automation bundle is a seed project for quality assurance engineers to help them start designing writing and running automated datadriven tests with selenide testng and allure.,selenium automation bundle selenium automation bundle is a seed project for quality assurance engineers to help them start designing writing and running automated datadriven tests,seed project for quality assurance engineers to help them start designing writing and running automated datadriven tests with selenide testng and allure
24,24,136863386,https://api.github.com/repos/DEFCON7343/pyrdp,RDP man-in-the-middle and library for Python 3 with the ability to watch connections live or after the fact,watch connections live or after the fact,table of contents supported systems installing installing on windows using the pyrdp mitm specifying the private key and certificate connecting to the pyrdp player connecting to a pyrdp player when the mitm is running on a server other mitm arguments using the pyrdp player playing a replay file listening for live connections changing the listening address other player arguments using the pyrdp certificate cloner cloning a certificate using a custom private key other cloner arguments using pyrdp as a library using pyrdp with bettercap contributing to pyrdp acknowledgements supported systems pyrdp should work on python 3.6 and up.,pyrdp pyrdp is a python 3 remote desktop protocol rdp maninthemiddle mitm and library.,pyrdp pyrdp is a python 3 remote desktop protocol rdp maninthemiddle mitm and library. it features a few tools rdp maninthemiddle logs credentials used to,python tool to connect 3 desktop and library
25,25,136898852,https://api.github.com/repos/srmagura/expo-pixi,Tools for using pixi.js in Expo,using pixijs in Expo,sideeffects to use pixi.js with expo react native you will want to import a modified version of pixi.js like so now you can create a new application the way you would on the web but be sure to pass in a .,expopixi tools to use pixi.js in expo to get started in your expo project and import it with .,expopixi tools to use pixi.js in expo to get started in your expo project and import it with . sideeffects to use pixi.js with expo,tools to use pixijs in expo to get started
26,26,137051892,https://api.github.com/repos/NobodyXu/VimPyServer,"A Python server to remote control Vim from telnet or netcat, without X-Windows nor vim-server",remote control Vim from telnet or netcat without XWindows nor vimserver,if you open several vim editors only the first one will be controlled by the vimpyserver.,vimpyserver a fast lightweight embedded python server to control remotely vim from telnet or netcat without xwindows nor vimserver.,vimpyserver a fast lightweight embedded python server to control remotely vim from telnet or netcat without xwindows nor vimserver. author victor polo de gyves montero,fast lightweight embedded python server to control remotely vim from telnet or netcat
27,27,136609553,https://api.github.com/repos/Gepeng18/two-stream-action-recognition,Using two stream architecture to implement a classic action recognition method on UCF101 dataset,implement a classic action recognition method on UCF101 dataset,1.2 motion input data stacked optical flow images in motion stream we use two methods to get optical flow data.,twostreamactionrecognition we use a spatial and motion stream cnn with resnet101 for modeling video information in ucf101 dataset.,twostreamactionrecognition we use a spatial and motion stream cnn with resnet101 for modeling video information in ucf101 dataset. reference paper 1 twostream convolutional networks for,spatial and motion stream cnn with resnet101 for modeling video information in ucf101 dataset
28,28,137484717,https://api.github.com/repos/phanirajl/data-validator,A tool to validate data built around Apache Spark. ,validate data built around Apache Spark ,arg type description column string table column to be checked.,datavalidator a tool to validate data in hive tables.,datavalidator a tool to validate data in hive tables. usage assemble fat jar example run config file description the datavalidator config file is yaml based,tool to validate data in hive tables
29,29,136998542,https://api.github.com/repos/lingostar/tjbot-playground,Swift Playground for interacting with TJBot,interacting with TJBot,after downloading right click the “tjbot.playgroundbook” file and choose “share airdrop.” a list will open up which should show your ipad.,tjbotplayground swift playground for interacting with tjbot 🤖 interact with tjbot from your ipad in this swift playground book this project showcases how swift can be used to interact with iot devices such as tjbot.,tjbotplayground swift playground for interacting with tjbot 🤖 interact with tjbot from your ipad in this swift playground book this project showcases how swift can,swift playground for interacting with tjbot 🤖 interact with tjbot from your ipad
30,30,136648647,https://api.github.com/repos/yrj2011/gitlab-github-proxy,Proxy to provide GitHub-like API on top of Gitlab. Especially designed to use the JIRA DVCS connector with Gitlab.,use the JIRA DVCS connector with Gitlab ,it should say connecting to github enterprise to configure your account.... then it should say linking new account .... then you should see your newly added account listed and the jira dvcs feature should operate normally from here.,gitlabgithub proxy glghproxy proxy to provide githublike api on top of gitlab.,gitlabgithub proxy glghproxy proxy to provide githublike api on top of gitlab. especially designed to use the jira dvcs connector with gitlab. very important configuration,proxy proxy to provide githublike api on top of gitlab especially designed to use the jira dvcs connector with gitlab very important configuration
31,31,137100659,https://api.github.com/repos/Gallimathias/ZigbeeNet,A .NET Standard library for working with ZigBee,working with ZigBee,because of that it is possible to use different hardware for your zigbee solution if there is a manufacturer solution missing feel free to open an issue or take part of its implementation texas instruments zstack zstack 3.0.x is tis zigbee 3.0 compliant protocol suite for the cc2530 cc2531 and cc2538 wireless mcu.,zigbeenet zigbeenet is a implementation of the zigbee 3.0 cluster library for .net standard .net core and more .net platforms.,zigbeenet zigbeenet is a implementation of the zigbee 3.0 cluster library for .net standard .net core and more .net platforms. with zigbeenet you can develop,implementation of the zigbee 30 cluster library for net standard net
32,32,137579329,https://api.github.com/repos/keepit1/keytransparency,A transparent and secure way to look up public keys.,look up public keys ,impl environment specific modules authentication authentication policy grpc interceptor.,key transparency key transparency provides a lookup service for generic records and a public tamperproof audit log of all record changes.,key transparency key transparency provides a lookup service for generic records and a public tamperproof audit log of all record changes. while being publicly auditable,lookup service for generic records and a public tamperproof audit log of all record changes
33,33,136666865,https://api.github.com/repos/lynch-lab/Borowicz_etal_Spacewhale,Aerial-trained deep learning networks for surveying cetaceans from satellite imagery,surveying cetaceans from satellite imagery,that are called by other scripts trains a model using a set of aerial images that you define.,spacewhale aerialtrained deep learning networks for surveying cetaceans from satellite imagery plos one this repo houses the code and resources for this paper borowicz a le h humphries g nehls g höschle c kosarev v et al. 2019 aerialtrained deep learning networks for surveying cetaceans from satellite imagery.,spacewhale aerialtrained deep learning networks for surveying cetaceans from satellite imagery plos one this repo houses the code and resources for this paper borowicz a,deep learning networks for surveying cetaceans from satellite imagery
34,34,137431059,https://api.github.com/repos/Knohraan/scripts-to-rule-them-all,Scripts to Rule Them All,Rule Them All,you should set up any specific things for your environment here before your tests are run.,scripts to rule them all this is a set of boilerplate scripts describing the normalized script pattern that github uses in its projects.,scripts to rule them all this is a set of boilerplate scripts describing the normalized script pattern that github uses in its projects. while these,scripts to rule them all
35,35,137584971,https://api.github.com/repos/Lioscro/ist4-pcp-analysis,Command-line tool to help bulk execution and graph plotting for Caltech IST4 Programming Challenge.,Caltech IST4 Programming Challenge ,batch execution and plotting basic command from the commandline run from its directory with the appropriate options.,caltech ist4 pcp analysis commandline tool to help bulk execution and graph plotting for caltech ist4 programming challenge.,caltech ist4 pcp analysis commandline tool to help bulk execution and graph plotting for caltech ist4 programming challenge. prerequisites python 3 numpy pandas matplotlib seaborn,analysis tool to help bulk execution and graph plotting for caltech
36,36,136938373,https://api.github.com/repos/RedCuckoo/student_marks_loader_and_saver,"Information about student's marks is stored in files, with some special formatting. The program reads it, stores using standard STL library. Two commands are used for showing the information or some statistics.",showing the information or some statistics ,the example of good command line is input good001.txt output out.txt stat con,studentmarksloaderandsaver by momotenko yurii information about students marks is stored in files field is a word or set of words separated either with or .,studentmarksloaderandsaver by momotenko yurii information about students marks is stored in files field is a word or set of words separated either with or .,program to show the file of the file word
37,37,136573124,https://api.github.com/repos/zhanghengios/SwiftCharts,Easy to use and highly customizable charts library for iOS,iOS,creation of views via a generator function which makes it easy to use custom views in any layer.,swiftcharts easy to use and highly customizable charts library for ios features bars plain stacked grouped horizontal vertical scatter lines straightcubiccustom path generator areas bubble multiple axes candlestick multiple labels per value x axis everything is customizable colors views units labels animations interactions axes etc.,swiftcharts easy to use and highly customizable charts library for ios features bars plain stacked grouped horizontal vertical scatter lines straightcubiccustom path generator areas bubble,easy to use and highly customizable charts library for [UNK]
38,38,137487353,https://api.github.com/repos/geneontology/GO_Shapes,Using RDF Shapes to define the schema of Gene Ontology Causal Activity Models,define the schema of Gene Ontology Causal Activity Models,ttl files authored in noctua and then copied across to this repo.,goshapes using rdf shapes to define the schema of gene ontology causal activity models the schema here is intended to be synced with the corresponding google doc but there may be cases of things being out of sync for now.,goshapes using rdf shapes to define the schema of gene ontology causal activity models the schema here is intended to be synced with the corresponding,using rdf shapes to define the schema of gene ontology causal activity models
39,39,137194425,https://api.github.com/repos/yrichard/pixi-tween,pixi-tween is a plugin for Pixi.js v3.0.8 or higher to create tween animations.,create tween animations ,.length get the points number tween constructor target manager the constructor .target the object to animate .manager the tweenmanager who manage this tween .time the animation time .active read only true if a tween is running .easing a easing function from pixi.tween.easing or a custom easing.,pixitween pixitween is a plugin for pixi.js v3.0.8 or higher to create tween animations.,pixitween pixitween is a plugin for pixi.js v3.0.8 or higher to create tween animations. online examples easing tweenpath installation usage browserify webpack if you use,plugin for pixijs v308 or higher to create tween animations online
40,40,137043519,https://api.github.com/repos/cysong168/DapperExtensions,Dapper + DapperExtensions + CodeGenerator easy  to play sqlserver、mysql、oracle、postgresql、sqlite,play sqlserver、mysql、oracle、postgresql、sqlite,dapperextensions dapper httpsgithub.comstackexchangedapper dapperextensions download httpsgithub.comznyetdapperextensionsreleases open source and zero config simple curd 1、idbconnection 2、table class 2、ready to fly all the method has async extensions codegenerator if database is oracle or postgresql please use modeldapperextensionsfororacleandpgsql.txt template also java getter and setter razor template template message if you think its very helpful to you you can buy me a cup of coffee.,dapperextensions dapper httpsgithub.comstackexchangedapper dapperextensions download httpsgithub.comznyetdapperextensionsreleases open source and zero config simple curd 1、idbconnection 2、table class 2、ready to fly all the method has async extensions codegenerator if database is oracle or postgresql please use modeldapperextensionsfororacleandpgsql.txt template also java getter and setter razor template template message if you think its very helpful to you you can buy me a cup of coffee.,dapperextensions dapper httpsgithub.comstackexchangedapper dapperextensions download httpsgithub.comznyetdapperextensionsreleases open source and zero config simple curd 1、idbconnection 2、table class 2、ready to fly all the method has async extensions,dapper class to fly all the method has async async database
41,41,137109478,https://api.github.com/repos/Fattylee/js-mobile-console,Console for debugging web apps right on mobile device,debugging web apps right on mobile device,it is extremely nice that we are on the road of specifying and unifying remote debugging protocol and we can already remotely debug web applications on desktop chrome but what if we want to get it working also on android browser or safari for ios mobileconsole can be embedded within any page for debugging it will catch errors and behave exactly as native js console in browser.,jsmobileconsole install zip archive download browserify npm install jsmobileconsole bower bower install jsmobileconsole overview live demo.,jsmobileconsole install zip archive download browserify npm install jsmobileconsole bower bower install jsmobileconsole overview live demo. it is extremely nice that we are on the,nice tool to use the hash of specifying and unifying remote debugging applications
42,42,137075063,https://api.github.com/repos/TWINNFAMOUS-DEVELOPERS/android_device_htc_ocluhl,Device tree for building HTC U11 life android one TWRP with OmniROM android-8.1,building HTC U11 life android one TWRP with OmniROM android81,devicehtcocla1sprout device tree for building twrp for htc u11 life android one edition device source cloned from captainthrowback here httpsgithub.comcaptainthrowbackandroiddevicehtcime and modified using files from ocla1sprout more changes are needed.,devicehtcocla1sprout device tree for building twrp for htc u11 life android one edition device source cloned from captainthrowback here httpsgithub.comcaptainthrowbackandroiddevicehtcime and modified using files from ocla1sprout more changes are needed.,devicehtcocla1sprout device tree for building twrp for htc u11 life android one edition device source cloned from captainthrowback here httpsgithub.comcaptainthrowbackandroiddevicehtcime and modified using files from,device tree for building twrp for htc u11 life
43,43,137086367,https://api.github.com/repos/aureliokessler/IQOption-Api," I have rewritten some of the functionality using async if you are want to use the updated code you can use the code from `async` branch, https://github.com/harwee/IQOption-Api/tree/async",use the updated code you can use the code from async branch https githubcomharweeIQOptionApitreeasync,iqoption api a simple websocket api for iq option.,iqoption api a simple websocket api for iq option.,iqoption api a simple websocket api for iq option. version 0.3a python 2 3 website httpsgithub.comharweeiqoptionapi author sri harsha gangisetty important please use the code,simple websocket api for iq option
