,link,summary,prsummarizer
787,https://api.github.com/repos/sigfriedCub1990/shadow-dom-in-depth,Everything you need to know about Shadow DOM ,dom repositorio to use to use with the [UNK]
793,https://api.github.com/repos/carlstrand/yellowcake,A starter project for creating lightning-fast websites with Gatsby v2 and Netlify-CMS v2 + Uploadcare intergration.,opinionated starter project for creating lightningfast websites with gatsby v2 and netlify [UNK]
827,https://api.github.com/repos/xinsun-leo/docker-xs-dev-dash,":chart_with_upwards_trend: Docker image for dashboarding stack using InfluxDB, Grafana and nginx",docker image for the xenserver ring3 teams teams dashboard using influxdb and [UNK]
832,https://api.github.com/repos/gongxihai22/layaair,"LayaAir is an open-source HTML5 engine.It provides Canvas and WebGl for rendering, if Webgl is not supported, it switch automatically into Canvas mode. LayaAir Engine is designed for high performance games and support ActionScript 3.0, TypeScript, JavaScr",is an html5 engine to rendering animation and support actionscript is [UNK]
855,https://api.github.com/repos/lihanchun/Leaflet.label,Leaflet.label is plugin for adding labels to markers & shapes on leaflet powered maps.,leaflet plugin to leaflet and leaflet [UNK] starting
913,https://api.github.com/repos/kornelbicskei/aws-kube-codesuite,"The CodeSuite Continuous Deployment reference architecture demonstrates how to achieve continuous deployment of an application to a Kubernetes cluster using AWS CodePipeline, AWS CodeCommit, AWS CodeBuild and AWS Lambda.",[UNK] architecture images to create the application cluster and a kubernetes cluster
918,https://api.github.com/repos/YaroslavStelmakh/mern-starter,⛔️ DEPRECATED - Boilerplate for getting started with MERN stack,scaffolding tool which makes it easy to build isomorphic apps using mongo express react and [UNK]
919,https://api.github.com/repos/MaximilianAst/passprotect-chrome,A simple Chrome extension to help you stop using bad passwords,chrome extension created by [UNK] to provide the the security of users accessing your website
970,https://api.github.com/repos/falleaf/ML-Tutorial-Experiment,Coding the Machine Learning Tutorial for Learning to Learn,machine learning tutorial for learning to learn 第一期：从零开始用tensorflow搭建卷积神经网络文章代码 补充资料：基础代码解析 [UNK] [UNK]
997,https://api.github.com/repos/wawah/accountgo,"Accounting System built in ASP.NET DotNetCore, ReactJS, MobX. Don't forget to click STAR if you like this project.",accounting system built on dotnetcore [UNK] to develop accounting system
998,https://api.github.com/repos/slamkalukas/gs-rest-service,Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.,sourcehighlighter [UNK] [UNK] [UNK] how to run a hello of a hello world linkunderstandingrestrestful web service with spring what
1001,https://api.github.com/repos/StbLinux/binnavi,"BinNavi is a binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",analysis analysis ide [UNK] an environment that allows users to inspect navigate edit and annotate controlflowgraphs of disassembled code
1008,https://api.github.com/repos/elsupergomez/aspnet-authentication-simpletoken,"Middleware that allows to extract token from authenticated requests, delegate it to an appropriated ISecurityTokenValidator and generate and AuthenticationTicket.",this package allows to extract token from authenticated requests and delegate it to an appropriated [UNK] and generate and authenticationticket
1021,https://api.github.com/repos/cy69855522/AI-Paper-Drawer,人工智能论文关键点集结。This project aims to collect key points of AI papers.,python learning of [UNK] for point cloud feature modeling
1084,https://api.github.com/repos/gsblue/dynamite,tool to archive and restore DynamoDB table,tools for dynamodb [UNK] allows you to archive table in an s3 bucket restore
